address,formatted_address,latitude,longitude,status,types
"MISSION ST AND ITALY AVE, San Francisco, CA","Mission St & Italy Ave, San Francisco, CA 94112, USA",37.7184779,-122.4395356,OK,['intersection']
"MISSION ST AND NEW MONTGOMERY ST, San Francisco, CA","Mission St & New Montgomery St, San Francisco, CA 94105, USA",37.7874561,-122.4005234,OK,['intersection']
"MISSION ST AND 1ST ST, San Francisco, CA","Mission St & 1st St, San Francisco, CA 94105, USA",37.7897755,-122.3975913,OK,['intersection']
"MISSION ST AND 20TH ST, San Francisco, CA","Mission St & 20th St, San Francisco, CA 94110, USA",37.7586404,-122.4190771,OK,['intersection']
"MISSION ST AND FREMONT ST, San Francisco, CA","Mission St & Fremont St, San Francisco, CA 94105, USA",37.7904547,-122.3967264,OK,['intersection']
"MISSION ST AND 13TH ST, San Francisco, CA","Mission St & 13th St, San Francisco, CA 94103, USA",37.7699578,-122.4201876,OK,['intersection']
"MISSION ST AND ERIE ST, San Francisco, CA","Mission St & Erie St, San Francisco, CA 94103, USA",37.7690631,-122.4200723,OK,['intersection']
"MISSION ST AND BEALE ST, San Francisco, CA","Mission St & Beale St, San Francisco, CA 94105, USA",37.7911592,-122.3958262,OK,['intersection']
"MISSION ST AND FAIR AVE, San Francisco, CA","Mission St & Fair Ave, San Francisco, CA 94110, USA",37.7456035,-122.4198975,OK,['intersection']
"MISSION ST AND SAINT MARYS AVE, San Francisco, CA","Mission St & St Marys Ave, San Francisco, CA 94112, USA",37.73395319999999,-122.4261421,OK,['intersection']
"MISSION ST AND SENECA AVE, San Francisco, CA","Mission St & Seneca Ave, San Francisco, CA 94112, USA",37.7176754,-122.4401492,OK,['intersection']
"MISSION ST AND ANTHONY ST, San Francisco, CA","Mission St & Anthony St, San Francisco, CA 94105, USA",37.7883744,-122.3993622,OK,['intersection']
"MISSION ST AND JESSIE EAST ST, San Francisco, CA","Mission St & Jessie St, San Francisco, CA 94103, USA",37.7840079,-122.4048747,OK,['intersection']
"MISSION ST AND SILVER AVE, San Francisco, CA","Mission St & Silver Ave, San Francisco, CA 94112, USA",37.7287485,-122.4313198,OK,['intersection']
"MISSION ST AND MOUNT VERNON AVE, San Francisco, CA","Mission St & Mt Vernon Ave, San Francisco, CA 94112, USA",37.7146065,-122.4426697,OK,['intersection']
"MISSION ST AND 30TH ST, San Francisco, CA","Mission St & 30th St, San Francisco, CA 94110, USA",37.7423869,-122.4219821,OK,['intersection']
"MISSION ST AND MAIN ST, San Francisco, CA","Mission St & Main St, San Francisco, CA 94105, USA",37.7918484,-122.3949553,OK,['intersection']
"MISSION ST AND TRUMBULL ST, San Francisco, CA","Mission St & Trumbull St, San Francisco, CA 94112, USA",37.7308496,-122.4291427,OK,['intersection']
"MISSION ST AND 15TH ST, San Francisco, CA","Mission St & 15th St, San Francisco, CA 94103, USA",37.7666804,-122.4198536,OK,['intersection']
"MISSION ST AND KINGSTON ST, San Francisco, CA","Mission St & Kingston St, San Francisco, CA 94110, USA",37.7417506,-122.4223917,OK,['intersection']
"MISSION ST AND TINGLEY ST, San Francisco, CA","Mission St & Tingley St, San Francisco, CA 94112, USA",37.7282519,-122.431806,OK,['intersection']
"MISSION ST AND THERESA ST, San Francisco, CA","Mission St & Theresa St, San Francisco, CA 94112, USA",37.7277166,-122.4324038,OK,['intersection']
"MISSION ST AND PARK ST, San Francisco, CA","Mission St & Park St, San Francisco, CA 94110, USA",37.7367496,-122.4242484,OK,['intersection']
"MISSION ST AND OLIVER ST, San Francisco, CA","Mission St & Oliver St, San Francisco, CA 94112, USA",37.7095562,-122.4505193,OK,['intersection']
"MISSION ST AND STEUART ST, San Francisco, CA","Mission St & Steuart St, San Francisco, CA 94105, USA",37.7932317,-122.3932047,OK,['intersection']
"MISSION ST AND HURON AVE, San Francisco, CA","Mission St & Huron Ave, San Francisco, CA 94112, USA",37.7083052,-122.4541936,OK,['intersection']
"MISSION ST AND SYCAMORE ST, San Francisco, CA","Mission St & Sycamore St, San Francisco, CA 94110, USA",37.7627139,-122.4194705,OK,['intersection']
"MISSION ST AND 2ND ST, San Francisco, CA","Mission St & 2nd St, San Francisco, CA 94105, USA",37.7880171,-122.399817,OK,['intersection']
"MISSION ST AND MINT ST, San Francisco, CA","Mission St & Mint St, San Francisco, CA 94103, USA",37.7822117,-122.4071655,OK,['intersection']
"MISSION ST AND GENEVA AVE, San Francisco, CA","Mission St & Geneva Ave, San Francisco, CA 94112, USA",37.716494,-122.4410222,OK,['intersection']
"MISSION ST AND CORTLAND AVE, San Francisco, CA","Mission St & Cortland Ave, San Francisco, CA 94110, USA",37.7410375,-122.4228531,OK,['intersection']
"MISSION ST AND 22ND ST, San Francisco, CA","Mission St & 22nd St, San Francisco, CA 94110, USA",37.7554447,-122.4187761,OK,['intersection']
"MISSION ST AND 6TH ST, San Francisco, CA","Mission St & 6th St, San Francisco, CA 94103, USA",37.7809745,-122.4087337,OK,['intersection']
"MISSION ST AND PRECITA AVE, San Francisco, CA","Mission St & Precita Ave, San Francisco, CA 94110, USA",37.7467814,-122.4191417,OK,['intersection']
"MISSION ST AND 17TH ST, San Francisco, CA","Mission St & 17th St, San Francisco, CA 94110, USA",37.7634446,-122.4195422,OK,['intersection']
"MISSION ST AND CASTLE MANOR AVE, San Francisco, CA","Mission St & Castle Manor Ave, San Francisco, CA 94112, USA",37.7292307,-122.4308447,OK,['intersection']
"MISSION ST AND ALLISON ST, San Francisco, CA","Mission St & Allison St, San Francisco, CA 94112, USA",37.7146065,-122.4426697,OK,['intersection']
"MISSION ST AND 26TH ST, San Francisco, CA","Mission St & 26th St, San Francisco, CA 94110, USA",37.749044,-122.4181659,OK,['intersection']
